participant_id,additional_doses,ad_recall,ad_emotion,trust_medical_endline,trust_government_endline,trust_pharma_endline,trust_media_endline,understand_vaccines_endline,vaccine_immunity_endline,personal_choice_endline,social_influence_endline,social_media_impact_endline,external_pressure_endline,judged_endline,bad_reaction_endline,variant_concern_endline,safety_concern_endline,conflicting_info_endline,short_term_effects_endline,long_term_effects_endline,risk_exaggerated_endline,preventive_measures_endline,access_delay_endline,incentives_help_endline,overall_view_change
2912,No,Yes,No strong feelings (neutral),4,3,5,1,5,5,2,3,2,1,3,2,3,3,2,4,3,5,2,5,1,Does not change
3608,No,No,No strong feelings (neutral),5,2,3,5,1,3,4,5,4,2,3,3,4,3,4,5,4,2,3,4,2,Does not change
3081,No,No,No strong feelings (neutral),4,2,4,2,3,3,4,5,2,3,2,5,4,5,3,5,4,5,5,3,2,Does not change
3675,Yes,Yes,No strong feelings (neutral),5,3,3,4,4,4,3,2,4,5,4,3,3,1,2,3,5,3,3,5,5,Does not change
2179,Yes,Yes,More confident in vaccines,5,5,1,4,5,5,5,4,2,1,1,1,3,2,2,1,1,1,2,4,2,Positive
2769,Yes,Yes,More confident in vaccines,5,4,1,5,1,1,3,1,1,5,3,2,4,4,3,5,3,4,4,5,5,Positive
4946,No,No,No strong feelings (neutral),5,1,5,5,5,4,5,3,2,4,4,3,3,3,1,5,2,2,3,3,5,Does not change
4566,No,No,Overwhelmed,5,1,5,5,4,1,3,4,3,2,2,1,2,1,5,3,4,4,3,3,1,Positive
4688,Yes,Yes,NA,3,5,5,3,3,4,4,2,2,1,5,3,5,3,5,1,5,3,3,3,4,Positive
2749,Yes,No,No strong feelings (neutral),4,5,3,5,5,3,5,4,2,3,3,1,2,3,2,4,1,3,2,4,4,Does not change
4164,No,Yes,More confident in vaccines,5,4,2,4,1,2,3,2,3,1,5,2,1,1,2,1,2,2,2,1,3,Much more positive
4599,Yes,No,More anxious about side effects,2,4,1,5,4,5,4,1,5,3,4,4,2,4,4,2,2,4,2,3,3,Positive
4166,Yes,Yes,More confident in vaccines,2,4,2,4,3,2,2,2,3,1,2,2,2,3,3,1,2,2,3,3,4,Does not change
2230,Yes,No,NA,5,2,2,3,2,4,5,3,3,5,4,3,4,3,2,5,2,2,4,3,4,Does not change
3906,No,No,No strong feelings (neutral),2,4,5,1,3,5,4,4,3,1,1,4,3,1,4,1,4,5,4,2,4,Does not change
4697,No,No,No strong feelings (neutral),3,3,2,1,1,2,5,4,4,5,4,3,1,4,3,2,4,2,4,4,4,Negative
3900,No,No,No strong feelings (neutral),4,2,1,2,3,4,3,2,1,2,4,5,3,5,3,2,3,4,5,4,4,Does not change
257,No,No,No strong feelings (neutral),4,2,3,3,2,3,3,4,4,4,2,3,4,4,1,3,1,4,4,3,5,Does not change
2092,Yes,No,NA,5,2,4,3,4,4,3,5,2,4,4,4,3,3,3,4,2,5,3,5,3,Positive
2094,Yes,No,No strong feelings (neutral),3,5,3,4,3,4,4,4,2,3,4,4,4,1,3,5,2,5,3,4,4,Negative
2066,No,No,No strong feelings (neutral),3,5,4,3,2,4,2,3,2,2,3,2,4,1,3,3,5,1,4,5,4,Does not change
2873,No,Yes,No strong feelings (neutral),4,4,2,3,2,1,1,3,5,4,4,3,5,3,4,4,2,2,5,3,4,Does not change
4412,No,Yes,More confident in vaccines,5,2,3,3,4,1,4,4,5,2,3,3,2,3,2,3,4,4,3,1,3,Does not change
4163,Yes,Yes,More motivated to protect others,3,5,5,5,2,5,5,3,5,5,2,1,1,4,4,2,3,1,2,2,4,Positive
2853,No,No,More confident in vaccines,5,4,5,5,3,4,3,4,5,3,1,4,1,1,2,3,2,2,1,3,2,Much more positive
3405,No,No,NA,5,4,1,3,4,3,4,4,4,1,3,5,3,5,3,2,4,2,1,3,4,Does not change
1565,No,No,No strong feelings (neutral),2,2,4,2,1,4,2,4,3,1,5,4,3,4,4,5,3,5,4,3,5,Does not change
2024,Yes,Yes,More confident in vaccines,4,2,5,3,5,5,4,4,3,2,2,4,2,3,3,4,4,2,1,4,2,Does not change
1287,Yes,No,More confident in vaccines,5,3,5,4,2,4,1,4,2,3,5,1,3,4,3,3,3,2,3,1,1,Much more positive
1538,Yes,No,More confident in vaccines,3,1,5,4,3,4,4,4,2,2,3,3,2,1,2,5,3,1,3,4,3,Positive
3274,No,Yes,No strong feelings (neutral),3,3,5,5,3,5,5,1,3,2,4,1,2,1,2,1,3,4,1,1,5,Does not change
2941,No,Yes,More confident in vaccines,5,3,5,3,1,3,1,1,4,2,2,1,1,2,4,1,4,1,2,2,3,Positive
3440,No,Yes,No strong feelings (neutral),4,5,4,3,4,5,2,4,2,1,3,1,1,4,2,1,2,1,4,2,3,Does not change
1026,Yes,Yes,Overwhelmed,3,5,5,5,3,5,5,4,3,1,3,3,1,3,5,4,2,1,3,1,3,Does not change
1079,No,Yes,"More motivated to protect others, More confident in vaccines",5,2,4,3,5,1,4,3,2,4,4,1,3,4,3,5,4,5,3,4,3,Negative
3663,Yes,Yes,More confident in vaccines,5,2,5,5,5,4,4,3,4,3,1,1,1,3,4,3,1,5,3,3,4,Positive
1255,Yes,Yes,"More motivated to protect others, Overwhelmed",2,4,2,3,1,4,4,4,5,5,3,1,2,5,2,2,3,3,3,3,2,Does not change
2988,Yes,No,No strong feelings (neutral),2,3,4,1,5,4,2,3,5,5,5,5,3,4,4,3,2,4,5,5,4,Does not change
1567,Yes,No,More motivated to protect others,5,3,1,4,2,2,3,2,3,4,1,1,5,3,1,2,1,5,5,3,4,Does not change
1358,No,Yes,No strong feelings (neutral),3,1,3,5,1,3,3,5,4,4,1,2,5,1,4,4,5,1,1,4,5,Does not change
3772,Yes,No,No strong feelings (neutral),4,4,4,5,1,3,3,1,4,3,5,2,5,1,4,5,2,4,1,4,3,Does not change
697,Yes,Yes,No strong feelings (neutral),3,2,4,5,5,4,3,2,5,2,1,4,1,3,3,4,1,4,3,4,2,Does not change
1864,No,No,No strong feelings (neutral),4,2,4,3,5,5,1,2,5,3,3,4,1,3,4,5,2,3,2,1,3,Does not change
2764,Yes,Yes,NA,5,3,2,4,4,3,3,2,3,4,1,4,3,1,2,3,2,3,5,3,3,Positive
2799,No,Yes,No strong feelings (neutral),4,3,5,3,4,1,4,3,2,3,1,1,2,2,3,5,3,2,3,2,4,Positive
2203,No,No,No strong feelings (neutral),3,3,4,3,2,5,2,5,3,3,1,5,4,5,5,5,5,5,4,4,5,Does not change
3200,No,No,No strong feelings (neutral),5,2,4,3,4,1,4,2,5,3,2,2,1,5,3,4,5,2,5,4,2,Does not change
4361,Yes,Yes,No strong feelings (neutral),4,4,3,4,2,5,5,4,4,4,4,2,2,2,5,3,1,4,3,1,4,Negative
4683,Yes,Yes,More confident in vaccines,5,5,2,4,1,3,3,3,3,2,1,2,4,1,4,4,3,2,3,3,2,Does not change
1743,Yes,Yes,More confident in vaccines,3,3,4,5,2,5,2,4,4,1,1,2,5,1,2,1,1,1,1,2,1,Does not change
1350,No,Yes,No strong feelings (neutral),3,1,5,3,3,3,2,4,3,1,2,4,5,1,2,4,3,1,4,1,1,Much more positive
1230,No,Yes,More confident in vaccines,5,3,1,1,3,3,4,2,1,4,1,2,2,2,2,3,2,1,2,4,3,Positive
3740,Yes,No,NA,2,2,1,2,4,4,3,3,3,5,3,1,4,5,5,1,4,2,3,2,4,Does not change
2255,No,No,More confident in vaccines,4,4,5,5,2,3,5,3,5,1,1,1,4,2,3,2,3,1,1,2,2,Does not change
3189,No,Yes,Overwhelmed,1,5,1,3,5,1,3,2,3,3,3,4,1,1,5,1,3,4,4,2,3,Positive
4857,Yes,Yes,Overwhelmed,5,3,3,3,3,4,3,1,4,1,3,3,4,4,1,1,5,2,4,3,2,Much more positive
4758,No,No,NA,1,5,5,5,5,1,3,2,4,3,5,1,5,5,3,5,3,2,3,4,3,Does not change
827,Yes,Yes,No strong feelings (neutral),5,4,5,3,5,2,2,2,2,1,1,2,3,1,4,3,4,3,2,4,5,Positive
311,No,Yes,"More motivated to protect others, More confident in vaccines",4,2,4,4,5,2,5,3,3,4,5,4,4,4,3,3,1,1,1,4,2,Does not change
4294,Yes,No,More confident in vaccines,5,4,3,5,3,5,4,4,2,2,2,4,1,1,3,2,1,2,1,2,1,Positive
1407,Yes,No,No strong feelings (neutral),2,5,3,2,4,5,3,2,2,5,3,3,5,1,4,3,1,1,4,1,5,Does not change
3919,Yes,Yes,More confident in vaccines,4,4,5,5,4,3,3,3,2,1,3,1,1,1,1,1,2,2,3,2,4,Positive
2173,Yes,No,"Overwhelmed, More anxious about side effects",4,3,3,3,2,3,2,1,2,1,5,3,2,2,5,4,2,3,1,4,3,Negative
553,No,Yes,More confident in vaccines,3,4,3,3,3,1,4,3,1,1,2,3,2,2,1,2,2,3,1,1,3,Does not change
2177,No,Yes,More confident in vaccines,1,5,3,4,3,2,3,3,5,1,4,2,2,4,3,3,3,2,1,2,2,Positive
367,No,No,No strong feelings (neutral),1,3,2,2,4,3,4,3,1,5,1,5,1,4,5,5,5,4,2,2,4,Does not change
722,Yes,Yes,More confident in vaccines,5,3,3,2,3,5,1,4,3,2,3,2,5,4,2,1,2,2,1,3,4,Does not change
1157,No,No,No strong feelings (neutral),4,4,1,2,5,4,4,1,5,1,4,3,2,4,5,2,5,1,4,3,3,Much more positive
3346,No,Yes,NA,3,4,3,3,4,3,2,2,1,5,1,3,1,3,2,5,3,5,2,2,3,Does not change
566,Yes,Yes,No strong feelings (neutral),5,5,5,3,5,2,5,4,1,2,2,2,3,1,1,1,1,3,1,1,3,Does not change
2701,Yes,Yes,No strong feelings (neutral),5,1,5,3,3,3,2,3,3,4,2,1,5,2,1,2,1,4,5,4,3,Does not change
2878,No,Yes,More confident in vaccines,5,3,1,5,5,5,3,4,4,1,1,3,1,2,1,1,1,3,1,1,1,Does not change
3350,No,No,Overwhelmed,5,5,5,4,4,5,4,3,3,3,1,1,3,1,4,3,3,2,2,3,5,Does not change
4855,Yes,Yes,No strong feelings (neutral),5,5,4,2,3,4,5,4,1,2,5,1,4,3,3,4,1,4,1,1,5,Does not change
2235,No,No,More confident in vaccines,4,5,4,1,2,1,3,3,3,1,3,1,3,1,1,5,1,4,2,3,1,Positive
3097,Yes,Yes,No strong feelings (neutral),3,5,2,5,1,4,3,2,2,1,2,3,3,4,2,4,4,2,1,3,2,Does not change
3050,Yes,Yes,NA,4,2,3,2,5,2,3,4,1,5,5,3,5,1,5,4,3,3,1,5,5,Negative
2857,No,No,More anxious about side effects,5,4,2,3,5,4,3,2,4,4,4,4,3,1,4,3,3,2,4,3,3,Positive
1881,No,No,No strong feelings (neutral),5,5,4,1,4,4,3,2,2,4,3,3,2,3,2,4,4,4,3,1,2,Much more negative
1754,No,No,No strong feelings (neutral),2,3,1,3,3,2,4,3,2,3,1,5,3,3,4,2,3,4,5,5,1,Does not change
3258,Yes,No,More confident in vaccines,5,3,4,4,3,4,5,3,1,1,4,5,4,1,1,2,2,5,4,1,3,Positive
1995,No,Yes,More confident in vaccines,5,3,3,3,1,5,4,3,4,3,3,2,5,2,5,2,3,4,2,2,4,Does not change
4927,Yes,Yes,More confident in vaccines,5,5,3,3,2,2,4,2,5,3,2,2,4,4,4,4,2,3,2,1,1,Much more positive
2846,Yes,Yes,More confident in vaccines,4,3,2,5,1,4,5,4,1,4,5,4,5,5,4,4,2,4,4,3,1,Positive
4519,Yes,No,No strong feelings (neutral),1,3,4,5,2,5,3,3,5,2,3,1,5,1,3,2,5,2,5,1,3,Does not change
242,Yes,No,More motivated to protect others,4,4,2,1,1,2,4,4,4,1,3,3,1,3,2,1,2,4,1,4,1,Does not change
1555,No,Yes,More confident in vaccines,5,2,4,4,3,5,4,2,4,3,2,2,5,2,1,2,3,1,3,1,1,Much more positive
2171,No,No,No strong feelings (neutral),5,2,1,2,1,1,3,4,4,4,4,4,5,5,5,2,3,2,3,4,5,Does not change
1332,No,No,NA,5,5,1,1,3,2,2,3,2,2,1,3,2,5,1,1,4,2,5,3,1,Does not change
2299,No,No,No strong feelings (neutral),5,5,4,2,3,1,2,2,4,3,2,1,1,2,4,5,3,4,4,1,4,Does not change
2222,Yes,No,"More confident in vaccines, Overwhelmed",5,4,4,2,2,5,4,1,1,3,4,4,1,1,5,1,2,1,3,3,4,Does not change
808,No,Yes,No strong feelings (neutral),4,1,4,3,3,3,4,5,5,2,3,5,3,4,2,4,2,1,2,2,3,Does not change
1859,Yes,Yes,More motivated to protect others,4,4,5,5,4,3,2,5,5,4,2,1,1,5,2,1,5,1,3,3,2,Does not change
4494,No,Yes,More confident in vaccines,5,5,1,4,5,5,5,4,3,1,4,4,1,2,2,1,1,2,2,2,1,Positive
3341,Yes,No,More motivated to protect others,5,3,4,2,1,2,2,1,2,3,2,1,4,2,3,2,2,2,4,1,4,Negative
1277,Yes,Yes,More confident in vaccines,3,2,2,5,5,4,4,5,1,2,5,1,2,1,2,1,3,4,3,2,4,Does not change
2706,Yes,No,No strong feelings (neutral),3,1,4,1,2,2,5,3,1,4,5,4,4,5,5,3,5,5,4,5,4,Negative
4676,No,Yes,More motivated to protect others,5,5,3,4,3,3,1,3,3,4,2,1,1,1,2,1,1,2,1,2,1,Much more negative
1627,Yes,No,No strong feelings (neutral),2,4,4,3,5,2,4,3,4,3,5,3,2,5,4,1,3,3,3,1,2,Does not change
4121,No,Yes,No strong feelings (neutral),1,3,1,4,4,5,4,3,3,4,2,2,3,4,4,3,5,4,3,3,1,Negative
3580,No,No,No strong feelings (neutral),1,3,1,2,4,1,3,3,5,3,1,4,4,3,2,4,5,3,5,2,1,Does not change
2072,Yes,Yes,"More motivated to protect others, More confident in vaccines",3,3,2,3,5,4,3,4,4,4,3,1,3,4,2,3,1,4,1,3,4,Positive
3541,Yes,No,More anxious about side effects,3,2,4,3,4,4,4,5,1,1,5,3,2,5,1,1,1,5,4,2,3,Does not change
4209,Yes,Yes,More confident in vaccines,2,4,3,1,2,5,2,2,1,3,2,3,2,2,2,1,4,2,4,1,3,Positive
4860,Yes,Yes,More confident in vaccines,5,2,4,5,5,3,1,3,5,1,4,4,3,3,1,2,3,1,1,4,4,Does not change
103,No,No,No strong feelings (neutral),4,3,5,3,3,3,3,3,1,5,4,3,3,3,4,5,4,4,2,5,4,Does not change
4021,Yes,Yes,Overwhelmed,5,1,4,2,5,2,2,2,4,2,2,5,3,3,5,5,1,2,4,4,5,Much more negative
2894,Yes,Yes,"More confident in vaccines, Overwhelmed",3,5,2,5,3,4,2,2,2,2,4,3,5,4,4,5,5,4,5,3,5,Does not change
2888,Yes,No,No strong feelings (neutral),2,4,5,5,5,3,2,2,4,3,3,1,1,3,4,2,4,4,2,2,1,Positive
4678,No,Yes,More confident in vaccines,2,4,5,3,5,5,3,4,2,4,1,3,3,4,1,3,3,3,3,1,5,Does not change
4326,Yes,Yes,More confident in vaccines,5,5,4,3,2,5,1,1,5,1,1,1,3,3,1,3,1,4,1,1,3,Positive
1523,Yes,Yes,NA,4,2,3,2,4,2,2,3,2,3,4,5,2,1,3,1,5,5,2,3,3,Does not change
1090,Yes,Yes,More confident in vaccines,3,3,5,5,5,5,3,3,3,4,3,3,4,3,3,1,1,2,1,4,4,Does not change
2537,No,No,No strong feelings (neutral),3,3,2,1,2,5,3,3,1,2,4,5,2,5,3,1,4,1,4,5,5,Does not change
2917,Yes,No,No strong feelings (neutral),3,3,5,3,4,1,3,5,3,2,1,4,3,3,3,3,1,2,3,1,4,Does not change
611,No,Yes,No strong feelings (neutral),4,3,5,3,2,4,5,2,2,2,2,2,2,5,3,5,2,4,2,3,4,Does not change
552,No,Yes,No strong feelings (neutral),3,3,1,1,1,4,2,3,3,2,4,5,1,3,3,2,5,3,4,3,4,Positive
3847,Yes,Yes,No strong feelings (neutral),4,2,5,5,4,5,2,1,2,3,1,4,3,1,3,4,4,3,1,3,1,Does not change
4193,No,Yes,More confident in vaccines,4,1,2,3,1,2,3,5,3,2,1,1,1,3,1,2,2,3,4,3,3,Does not change
2169,Yes,Yes,No strong feelings (neutral),3,5,4,3,3,5,4,4,2,1,4,4,2,1,1,4,2,2,4,3,3,Much more negative
3506,Yes,Yes,No strong feelings (neutral),2,2,4,2,4,1,3,5,4,2,4,5,5,4,5,5,4,5,3,3,3,Does not change
4788,No,Yes,More confident in vaccines,5,3,5,3,5,5,2,2,2,2,2,1,4,2,2,4,1,5,1,2,2,Positive
536,No,Yes,No strong feelings (neutral),1,1,2,3,1,5,2,5,1,4,2,4,4,5,4,2,5,2,4,2,5,Does not change
1161,Yes,Yes,No strong feelings (neutral),4,4,1,5,4,1,3,3,5,3,2,3,1,2,3,2,4,5,4,4,4,Does not change
3949,No,Yes,No strong feelings (neutral),4,5,5,4,1,2,1,3,3,1,2,1,5,3,5,4,3,3,2,4,3,Positive
2422,Yes,No,No strong feelings (neutral),2,4,3,1,2,1,2,1,3,4,2,3,2,4,5,4,2,3,3,3,3,Much more negative
4553,No,Yes,No strong feelings (neutral),2,3,5,2,4,4,3,4,3,5,5,1,3,4,5,4,4,1,1,2,1,Does not change
1542,Yes,No,NA,2,4,3,4,2,4,4,5,3,5,5,5,1,4,2,4,4,3,5,2,2,Does not change
372,Yes,No,More motivated to protect others,2,3,4,4,1,4,4,4,2,4,2,4,2,1,4,2,1,5,3,3,3,Much more positive
1321,Yes,Yes,More motivated to protect others,4,5,5,3,5,3,4,4,2,1,3,2,1,3,4,3,1,4,4,3,5,Does not change
2811,Yes,Yes,Overwhelmed,4,2,2,4,4,5,2,2,5,2,4,3,2,3,4,5,4,5,5,3,4,Positive
1296,Yes,No,No strong feelings (neutral),2,2,3,3,3,5,4,2,1,4,3,3,3,1,4,3,3,5,3,1,4,Does not change
3342,No,No,No strong feelings (neutral),2,4,1,2,3,1,4,1,2,3,4,3,4,3,3,2,2,2,3,3,2,Does not change
2063,Yes,Yes,No strong feelings (neutral),5,4,5,5,5,1,2,3,5,3,2,2,2,3,3,1,3,5,3,1,3,Does not change
78,No,Yes,NA,5,3,4,5,4,5,4,1,2,1,1,1,4,2,4,4,2,2,4,1,5,Does not change
2611,Yes,Yes,Overwhelmed,1,3,4,2,5,2,3,3,2,4,5,4,4,3,4,2,4,5,3,3,4,Does not change
2485,Yes,Yes,No strong feelings (neutral),5,4,4,5,5,5,1,2,3,2,1,5,1,1,3,3,1,3,1,1,1,Much more negative
4998,No,No,No strong feelings (neutral),2,2,1,1,1,1,5,1,5,5,4,4,4,2,5,3,3,5,2,1,4,Positive
1253,No,Yes,Overwhelmed,5,1,2,3,3,2,1,3,5,5,3,4,4,3,4,2,2,2,5,2,1,Does not change
3311,Yes,No,More confident in vaccines,4,5,5,5,1,2,4,2,1,1,2,5,2,2,3,2,3,2,5,4,5,Positive
1909,No,Yes,No strong feelings (neutral),5,3,2,4,4,3,1,3,3,5,1,3,3,1,4,2,1,3,2,1,1,Does not change
1570,Yes,Yes,More confident in vaccines,4,4,3,4,2,4,2,4,5,3,1,4,3,1,3,3,1,5,2,3,5,Does not change
4615,Yes,Yes,More anxious about side effects,4,5,4,2,4,5,4,4,1,1,1,1,2,4,3,3,1,5,2,2,3,Positive
344,No,No,No strong feelings (neutral),5,1,3,5,5,5,3,3,5,2,5,2,2,4,2,3,2,2,3,1,4,Does not change
4619,No,Yes,"More motivated to protect others, More confident in vaccines",2,5,5,2,2,4,1,3,2,4,4,1,5,2,4,2,4,3,4,4,1,Does not change
394,Yes,Yes,No strong feelings (neutral),5,3,3,5,4,5,4,5,4,4,1,2,2,3,2,4,1,2,1,3,2,Does not change
2349,No,Yes,"More confident in vaccines, More anxious about side effects",3,5,2,2,2,4,4,5,2,4,1,4,2,4,3,5,5,4,3,2,4,Much more positive
4514,No,No,No strong feelings (neutral),5,5,1,2,4,5,4,2,5,2,1,4,1,2,4,3,3,4,5,3,3,Does not change
857,Yes,Yes,More confident in vaccines,5,4,4,4,4,5,5,4,3,3,2,1,2,2,1,3,1,3,2,1,1,Much more positive
1723,No,No,No strong feelings (neutral),3,3,2,1,5,5,3,3,4,3,4,2,4,2,1,1,4,5,3,5,4,Does not change
4297,Yes,No,No strong feelings (neutral),2,4,3,5,4,5,2,3,4,1,2,4,2,2,1,2,4,1,3,5,3,Negative
1827,No,No,No strong feelings (neutral),4,1,4,1,4,3,3,2,2,4,3,4,3,3,4,2,2,3,3,5,2,Does not change
895,Yes,Yes,More confident in vaccines,4,5,5,5,4,1,4,2,5,1,5,2,1,1,3,1,2,1,1,2,1,Does not change
580,Yes,No,No strong feelings (neutral),4,3,2,1,2,4,4,3,1,3,2,2,2,2,2,2,2,2,2,5,2,Does not change
4799,No,No,No strong feelings (neutral),5,2,4,4,2,5,1,4,1,4,3,3,2,3,3,3,1,1,1,2,4,Does not change
3183,No,No,More confident in vaccines,5,3,3,5,5,5,4,2,3,2,1,1,2,2,3,1,2,3,1,2,3,Positive
604,Yes,No,NA,1,4,5,3,3,3,5,1,4,4,3,1,3,2,3,3,4,3,4,2,2,Does not change
1414,Yes,Yes,More anxious about side effects,3,5,1,3,1,1,5,3,2,3,4,3,2,3,2,1,4,3,4,3,4,Does not change
2193,Yes,No,More anxious about side effects,5,5,5,4,5,3,3,4,2,3,4,1,4,4,3,5,1,3,1,5,4,Much more positive
1298,No,Yes,More confident in vaccines,5,3,4,2,5,3,1,5,2,3,1,1,5,1,3,4,3,2,4,4,1,Positive
4770,No,Yes,No strong feelings (neutral),1,5,5,4,5,4,4,3,4,3,1,5,2,4,2,2,2,3,2,1,4,Does not change
3824,Yes,No,Overwhelmed,4,5,2,2,1,5,3,4,3,3,5,5,1,1,4,3,3,1,4,4,5,Does not change
3588,No,No,No strong feelings (neutral),5,3,3,5,3,3,3,3,2,2,5,3,3,2,2,4,2,3,4,5,2,Does not change
3582,Yes,Yes,More confident in vaccines,5,4,5,5,5,5,2,2,2,1,1,2,2,1,2,3,1,1,2,1,2,Much more positive
2140,Yes,Yes,More confident in vaccines,4,5,3,3,4,4,1,2,4,2,2,1,1,3,1,5,5,2,2,1,1,Negative
683,No,Yes,More anxious about side effects,2,2,4,3,2,2,1,2,3,3,4,4,2,1,3,3,3,4,2,2,2,Does not change
2568,No,No,No strong feelings (neutral),5,3,5,3,3,4,4,4,3,2,1,1,1,5,4,4,3,2,4,2,5,Does not change
3887,Yes,No,No strong feelings (neutral),5,1,3,1,1,1,4,3,4,2,5,3,3,5,2,5,4,5,4,3,5,Does not change
3777,Yes,No,No strong feelings (neutral),4,3,5,3,3,2,2,3,2,1,4,4,3,4,3,3,2,3,4,2,3,Does not change
4330,Yes,Yes,No strong feelings (neutral),5,5,2,4,5,2,3,2,3,4,2,4,2,4,3,3,1,3,1,3,2,Does not change
1895,No,Yes,No strong feelings (neutral),5,5,4,4,3,4,1,2,2,5,4,3,5,2,4,3,4,2,4,3,3,Does not change
1576,No,No,NA,2,3,3,3,5,1,1,4,3,2,4,2,2,3,2,5,2,1,3,2,5,Does not change
354,Yes,Yes,Overwhelmed,2,5,4,4,5,2,2,3,2,2,3,4,4,1,1,4,1,1,4,3,3,Much more positive
1047,Yes,No,NA,4,4,4,3,3,4,2,5,1,3,2,3,2,1,3,5,1,3,1,2,1,Positive
4958,Yes,No,No strong feelings (neutral),3,5,5,3,2,4,4,4,4,1,1,2,2,5,2,1,3,4,2,1,4,Positive
3458,No,No,No strong feelings (neutral),4,2,2,5,4,2,4,3,5,5,3,5,5,4,5,3,2,3,5,5,5,Does not change
823,No,No,No strong feelings (neutral),2,4,5,3,4,4,3,1,5,3,4,3,4,1,4,3,2,3,4,3,4,Does not change
2392,No,Yes,Overwhelmed,1,3,3,4,2,3,3,3,5,1,3,3,5,1,5,2,1,3,1,3,1,Does not change
398,Yes,No,No strong feelings (neutral),2,4,2,5,4,3,1,2,4,5,1,4,3,2,5,4,3,4,5,4,2,Does not change
2040,Yes,Yes,No strong feelings (neutral),1,1,2,5,1,5,3,3,2,2,3,3,3,1,5,4,4,5,4,5,3,Positive
4465,Yes,Yes,No strong feelings (neutral),4,5,5,2,3,2,4,2,5,2,4,5,4,5,4,5,3,3,4,4,5,Negative
1964,No,Yes,More confident in vaccines,4,5,2,4,2,1,4,2,4,1,2,1,1,1,1,2,1,2,3,2,1,Much more negative
4488,No,Yes,No strong feelings (neutral),5,4,3,5,4,2,4,5,3,1,2,3,2,4,1,2,1,1,2,2,2,Does not change
4675,No,No,No strong feelings (neutral),4,4,5,2,4,5,1,5,3,3,5,3,2,2,3,3,2,4,2,3,5,Does not change
